Language,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features
ILLGOL,2000,,,implemented,,stubs; languages
Shoopuf,2004,,,implemented,,languages
MDPN,1998,,unknown computational class,,,languages; meta-languages
Sally,2000,functional paradigm,unknown computational class,implemented,,languages
Squishy2K,2000,,,implemented,,languages
Tamerlane,2000,,,unimplemented,,stubs; languages
*W,,,unknown computational class,,,languages
JUSTIF,2001,,,implemented,,languages
Dumbf*ck,2001,,unknown computational class,implemented,cell-based,languages; brainfuck derivatives; low-level
When,2001,,,,,languages
.Gertrude,2001,,,,,languages
.yacuabll,2001,,,,,languages
Mouse,,,turing complete,implemented,stack-based,languages
Linguine,2005,,turing complete,implemented,,languages
ObjectPar,,object-oriented paradigm,,,,languages
BF-PDA,2005,,,output only; implemented,stack-based,languages; brainfuck derivatives; low-level
Bitwise Cyclic Tag,2005,,turing complete; turing tarpits,no io; implemented,queue-based,languages
Yellow Four Code,,,unknown computational class,unimplemented,,languages; low-level
Rhotor,2006,functional paradigm,turing complete,implemented,,languages
Minks,2006,,unknown computational class,implemented; usability unknown,,languages; low-level
SPL,2005,,,implemented,cell-based,languages; brainfuck derivatives; low-level
Owl,2005,,turing complete,implemented,stack-based,languages
Y,1995,,turing complete,implemented,stack-based,languages
Lambda,,,,implemented,,languages; low-level
Tory,,,turing complete,implemented,cell-based,languages; brainfuck derivatives; thematic
Random,2006,,,implemented,stack-based,low-level; languages
UNBABTIZED,2002,,,implemented,cell-based,languages
SON-OF-UNBABTIZED,2002,,,implemented,,languages
Shakell,2005,,,implemented,,languages
Versert,2005,,unknown computational class,implemented,,languages; two-dimensional languages; low-level
BF-SC,2006,,unknown computational class,usability unknown; output only; unimplemented,cell-based,languages; brainfuck derivatives; low-level
Self-modifying Brainfuck,2006,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck derivatives; low-level
REverge,,,,works-in-progress,,
P,2006,,,implemented,stack-based,languages
SuperPar,,object-oriented paradigm,unknown computational class,unimplemented,,languages; low-level
AAAAAAAAAAAAAA!!!!,2006,,turing complete,unimplemented,,languages; low-level
Hargfak,,,turing complete,,stack-based,languages; low-level; brainfuck derivatives
POGA-INTERCAL,,,turing complete,,,languages; low-level
Barely,2006,,turing complete; turing tarpits,implemented,cell-based,languages; low-level
MinISCule,2006,,turing complete; turing tarpits,implemented,,languages; low-level
TriINTERCAL,,,turing complete,implemented,,languages
Piet-Q,2006,,unknown computational class,implemented,stack-based,languages; two-dimensional languages; low-level
BitChip,2006,,unknown computational class,no io,,languages; low-level; two-dimensional languages
INCAL,,,unknown computational class,implemented,,languages; low-level
TwoDucks,,,unknown computational class,unimplemented,,languages
MiniMAX,2006,,turing tarpits; turing complete,implemented,,languages; low-level
Bag,2001,,turing tarpits; turing complete,unimplemented,,languages; low-level
Omegaplex,2006,,unknown computational class,unimplemented,stack-based,languages; two-dimensional languages; high-level
BackFlip,2006,,unknown computational class,implemented; no io; total,,languages; low-level; two-dimensional languages
Revaver2pi,2006,,unknown computational class,implemented,stack-based,languages
TapeBagel,2006,,,unimplemented,,languages
DZZZZ,,,,implemented,,languages; two-dimensional languages
ABCDXYZ,2006,object-oriented paradigm,unknown computational class,implemented; output only; total,,languages; low-level
Unassignable,2006,object-oriented paradigm,unknown computational class,output only; implemented; total,,languages; low-level
Black,2006,,turing complete; turing tarpits,implemented; no io,,low-level; languages; two-dimensional languages
MechaniQue,2006,,unknown computational class,implemented,,languages; high-level
Brainscrambler,2004,,turing complete,implemented,stack-based,languages; brainfuck derivatives
